file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio
ec2_cpu_utilization_825cc2.csv,75.637576,1.0,58.0,0.0,3631.0,lstmWeight=0.2;cnnWeight=0.8;lstmCells=8;LSTMDL1units=20;LSTML2units=5;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,1527.0,4032.0,0.379
ec2_cpu_utilization_ac20cd.csv,48.660763,0.0,0.0,1.0,3629.0,lstmWeight=0.2;cnnWeight=0.8;lstmCells=8;LSTMDL1units=20;LSTML2units=5;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,3375.0,4032.0,0.8370000000000001
ec2_cpu_utilization_c6585a.csv,0.007915,0.0,0.0,0.0,4032.0,lstmWeight=0.6;cnnWeight=0.4;lstmCells=10;LSTMDL1units=20;LSTML2units=5;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
ec2_cpu_utilization_fe7f93.csv,64.234639,2.0,1121.0,1.0,2506.0,lstmWeight=0.5;cnnWeight=0.1;lstmCells=10;LSTMDL1units=20;LSTML2units=5;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=20,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,3.0,699.0,4032.0,0.173
ec2_disk_write_bytes_1ef3de.csv,2429974627187921.0,1.0,25.0,0.0,4232.0,lstmWeight=0.6;cnnWeight=0.4;lstmCells=10;LSTMDL1units=20;LSTML2units=5;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=40,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0422820390662;,1.0,2400.0,4730.0,0.507
ec2_disk_write_bytes_c0d644.csv,6256660623128130.0,0.0,5.0,3.0,3622.0,lstmWeight=0.02;cnnWeight=0.01;lstmCells=15;LSTMDL1units=20;LSTML2units=5;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=30,comparision_window_size=2;threshold_max_multipler=2;training_ratio=0.0424140821459;,3.0,1795.0,4032.0,0.445
ec2_network_in_257a54.csv,40730428592934.52,1.0,16.0,0.0,3613.0,lstmWeight=0.02;cnnWeight=0.08;lstmCells=1;LSTMDL1units=10;LSTML2units=5;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=10;CNNDL2units=5;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=20,comparision_window_size=3;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,1438.0,4032.0,0.35700000000000004
ec2_network_in_5abac7.csv,935141442012.1746,0.0,0.0,2.0,4256.0,lstmWeight=0.1;cnnWeight=0.9;lstmCells=5;LSTMDL1units=20;LSTML2units=5;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=40,comparision_window_size=3;threshold_max_multipler=2;training_ratio=0.0422820390662;,2.0,2491.0,4730.0,0.527
elb_request_count_8c0756.csv,3858.099986,1.0,0.0,1.0,3630.0,lstmWeight=0.05;cnnWeight=0.5;lstmCells=6;LSTMDL1units=20;LSTML2units=5;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=160,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,2.0,684.0,4032.0,0.17
grok_asg_anomaly.csv,10.824737,1.0,5.0,2.0,4151.0,lstmWeight=0.6;cnnWeight=0.4;lstmCells=10;LSTMDL1units=20;LSTML2units=5;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.0424549000488;,3.0,1178.0,4621.0,0.255
